,features,dicationary
last_3_days_effication_dark_night_update_cnt,0.0,最近3天effication_dark_night_update_个数
last_3_days_effication_dark_night_update_to_whole_ratio,-9999.0,最近3天effication_dark_night_update_个数与总app数比值
last_3_days_entertainment_dark_night_update_cnt,0.0,最近3天entertainment_dark_night_update_个数
last_3_days_entertainment_dark_night_update_to_whole_ratio,-9999.0,最近3天entertainment_dark_night_update_个数与总app数比值
last_3_days_communication_dark_night_update_cnt,0.0,最近3天communication_dark_night_update_个数
last_3_days_communication_dark_night_update_to_whole_ratio,-9999.0,最近3天communication_dark_night_update_个数与总app数比值
last_3_days_finance_dark_night_update_cnt,0.0,最近3天finance_dark_night_update_个数
last_3_days_finance_dark_night_update_to_whole_ratio,-9999.0,最近3天finance_dark_night_update_个数与总app数比值
last_3_days_travel_dark_night_update_cnt,0.0,最近3天travel_dark_night_update_个数
last_3_days_travel_dark_night_update_to_whole_ratio,-9999.0,最近3天travel_dark_night_update_个数与总app数比值
last_3_days_business_dark_night_update_cnt,0.0,最近3天business_dark_night_update_个数
last_3_days_business_dark_night_update_to_whole_ratio,-9999.0,最近3天business_dark_night_update_个数与总app数比值
last_3_days_shopping_dark_night_update_cnt,0.0,最近3天shopping_dark_night_update_个数
last_3_days_shopping_dark_night_update_to_whole_ratio,-9999.0,最近3天shopping_dark_night_update_个数与总app数比值
last_3_days_gamble_dark_night_update_cnt,0.0,最近3天gamble_dark_night_update_个数
last_3_days_gamble_dark_night_update_to_whole_ratio,-9999.0,最近3天gamble_dark_night_update_个数与总app数比值
last_3_days_social_dark_night_update_cnt,0.0,最近3天social_dark_night_update_个数
last_3_days_social_dark_night_update_to_whole_ratio,-9999.0,最近3天social_dark_night_update_个数与总app数比值
last_3_days_others_dark_night_update_cnt,0.0,最近3天others_dark_night_update_个数
last_3_days_others_dark_night_update_to_whole_ratio,-9999.0,最近3天others_dark_night_update_个数与总app数比值
last_3_days_dark_night_update_category_unique,0.0,最近3dark_night_update不同种类数
last_3_days_dark_night_update_category_unique_to_whole_ratio,0.0,最近3dark_night_update不同种类数与全种类比值
last_3_day_cash_app_cnt_dark_night_update,0.0,最近3天现金贷appdark_night_update数
last_3_day_gp_cash_app_cnt_dark_night_update,0.0,最近3天现金贷google play 上的dark_night_update数
last_3_day_un_gp_cash_app_cnt_dark_night_update,0.0,最近3天现金贷非google play 上的dark_night_update数
last_3_day_review_unpopular_app_dark_night_update,0.0,最近3天_review_unpopular_app_dark_night_update数
last_3_day_review_unpopular_app_dark_night_update_to_whole_ratio,-9999.0,最近3天_review_unpopular_app_dark_night_update数与总数比值
last_3_day_review_unpopular_second_app_dark_night_update,0.0,最近3天_review_unpopular_second_app_dark_night_update数
last_3_day_review_unpopular_second_app_dark_night_update_to_whole_ratio,-9999.0,最近3天_review_unpopular_second_app_dark_night_update数与总数比值
last_3_day_review_middle_app_dark_night_update,0.0,最近3天_review_middle_app_dark_night_update数
last_3_day_review_middle_app_dark_night_update_to_whole_ratio,-9999.0,最近3天_review_middle_app_dark_night_update数与总数比值
last_3_day_review_popular_app_dark_night_update,0.0,最近3天_review_popular_app_dark_night_update数
last_3_day_review_popular_app_dark_night_update_to_whole_ratio,-9999.0,最近3天_review_popular_app_dark_night_update数与总数比值
last_3_day_install_unpopular_app_dark_night_update,0.0,最近3天_install_unpopular_app_dark_night_update数
last_3_day_install_unpopular_app_dark_night_update_to_whole_ratio,-9999.0,最近3天_install_unpopular_app_dark_night_update数与总数比值
last_3_day_install_unpopular_second_app_dark_night_update,0.0,最近3天_install_unpopular_second_app_dark_night_update数
last_3_day_install_unpopular_second_app_dark_night_update_to_whole_ratio,-9999.0,最近3天_install_unpopular_second_app_dark_night_update数与总数比值
last_3_day_install_middle_app_dark_night_update,0.0,最近3天_install_middle_app_dark_night_update数
last_3_day_install_middle_app_dark_night_update_to_whole_ratio,-9999.0,最近3天_install_middle_app_dark_night_update数与总数比值
last_3_day_install_popular_app_dark_night_update,0.0,最近3天_install_popular_app_dark_night_update数
last_3_day_install_popular_app_dark_night_update_to_whole_ratio,-9999.0,最近3天_install_popular_app_dark_night_update数与总数比值
last_3_day_cash_install_unpopular_app_dark_night_update,0.0,最近3天_cash_install_unpopular_app_dark_night_update数
last_3_day_cash_install_unpopular_app_dark_night_update_to_whole_ratio,-9999.0,最近3天_cash_install_unpopular_app_dark_night_update数与总数比值
last_3_day_cash_install_unpopular_second_app_dark_night_update,0.0,最近3天_cash_install_unpopular_second_app_dark_night_update数
last_3_day_cash_install_unpopular_second_app_dark_night_update_to_whole_ratio,-9999.0,最近3天_cash_install_unpopular_second_app_dark_night_update数与总数比值
last_3_day_cash_install_middle_app_dark_night_update,0.0,最近3天_cash_install_middle_app_dark_night_update数
last_3_day_cash_install_middle_app_dark_night_update_to_whole_ratio,-9999.0,最近3天_cash_install_middle_app_dark_night_update数与总数比值
last_3_day_cash_install_popular_app_dark_night_update,0.0,最近3天_cash_install_popular_app_dark_night_update数
last_3_day_cash_install_popular_app_dark_night_update_to_whole_ratio,-9999.0,最近3天_cash_install_popular_app_dark_night_update数与总数比值
last_3_cate_gory_kind1_dark_night_update_cnt,0.0,最近3天第一类app dark_night_update 数
last_3_cate_gory_kind2_dark_night_update_cnt,0.0,最近3天第二类app dark_night_update 数
last_3_cate_gory_kind1_dark_night_update_ratio,-9999.0,最近3天第一类app dark_night_update 占比
last_3_cate_gory_kind2_dark_night_update_ratio,-9999.0,最近3天第二类app dark_night_update 占比
last_15_days_app_dark_night_update_cnt,0.0,最近15天_app_dark_night_update_个数
last_15_days_review_dark_night_update_max,,最近15天_热评_dark_night_update_最大数
last_15_days_review_dark_night_update_sum,0.0,最近15天_热评_dark_night_update_合计
last_15_days_review_dark_night_update_avg,,最近15天_热评_dark_night_update_均值
last_15_days_review_dark_night_update_min,,最近15天_热评_dark_night_update_最小数
last_15_days_game_dark_night_update_cnt,0.0,最近15天game_dark_night_update_个数
last_15_days_game_dark_night_update_to_whole_ratio,-9999.0,最近15天game_dark_night_update_个数与总app数比值
last_15_days_tools_dark_night_update_cnt,0.0,最近15天tools_dark_night_update_个数
last_15_days_tools_dark_night_update_to_whole_ratio,-9999.0,最近15天tools_dark_night_update_个数与总app数比值
last_15_days_video_music_dark_night_update_cnt,0.0,最近15天video_music_dark_night_update_个数
last_15_days_video_music_dark_night_update_to_whole_ratio,-9999.0,最近15天video_music_dark_night_update_个数与总app数比值
last_15_days_lifestyle_dark_night_update_cnt,0.0,最近15天lifestyle_dark_night_update_个数
last_15_days_lifestyle_dark_night_update_to_whole_ratio,-9999.0,最近15天lifestyle_dark_night_update_个数与总app数比值
last_15_days_education_dark_night_update_cnt,0.0,最近15天education_dark_night_update_个数
last_15_days_education_dark_night_update_to_whole_ratio,-9999.0,最近15天education_dark_night_update_个数与总app数比值
last_15_days_personal_dark_night_update_cnt,0.0,最近15天personal_dark_night_update_个数
last_15_days_personal_dark_night_update_to_whole_ratio,-9999.0,最近15天personal_dark_night_update_个数与总app数比值
last_15_days_ebook_dark_night_update_cnt,0.0,最近15天ebook_dark_night_update_个数
last_15_days_ebook_dark_night_update_to_whole_ratio,-9999.0,最近15天ebook_dark_night_update_个数与总app数比值
last_15_days_effication_dark_night_update_cnt,0.0,最近15天effication_dark_night_update_个数
last_15_days_effication_dark_night_update_to_whole_ratio,-9999.0,最近15天effication_dark_night_update_个数与总app数比值
last_15_days_entertainment_dark_night_update_cnt,0.0,最近15天entertainment_dark_night_update_个数
last_15_days_entertainment_dark_night_update_to_whole_ratio,-9999.0,最近15天entertainment_dark_night_update_个数与总app数比值
last_15_days_communication_dark_night_update_cnt,0.0,最近15天communication_dark_night_update_个数
last_15_days_communication_dark_night_update_to_whole_ratio,-9999.0,最近15天communication_dark_night_update_个数与总app数比值
last_15_days_finance_dark_night_update_cnt,0.0,最近15天finance_dark_night_update_个数
last_15_days_finance_dark_night_update_to_whole_ratio,-9999.0,最近15天finance_dark_night_update_个数与总app数比值
last_15_days_travel_dark_night_update_cnt,0.0,最近15天travel_dark_night_update_个数
last_15_days_travel_dark_night_update_to_whole_ratio,-9999.0,最近15天travel_dark_night_update_个数与总app数比值
last_15_days_business_dark_night_update_cnt,0.0,最近15天business_dark_night_update_个数
last_15_days_business_dark_night_update_to_whole_ratio,-9999.0,最近15天business_dark_night_update_个数与总app数比值
last_15_days_shopping_dark_night_update_cnt,0.0,最近15天shopping_dark_night_update_个数
last_15_days_shopping_dark_night_update_to_whole_ratio,-9999.0,最近15天shopping_dark_night_update_个数与总app数比值
last_15_days_gamble_dark_night_update_cnt,0.0,最近15天gamble_dark_night_update_个数
last_15_days_gamble_dark_night_update_to_whole_ratio,-9999.0,最近15天gamble_dark_night_update_个数与总app数比值
last_15_days_social_dark_night_update_cnt,0.0,最近15天social_dark_night_update_个数
last_15_days_social_dark_night_update_to_whole_ratio,-9999.0,最近15天social_dark_night_update_个数与总app数比值
last_15_days_others_dark_night_update_cnt,0.0,最近15天others_dark_night_update_个数
last_15_days_others_dark_night_update_to_whole_ratio,-9999.0,最近15天others_dark_night_update_个数与总app数比值
last_15_days_dark_night_update_category_unique,0.0,最近15dark_night_update不同种类数
last_15_days_dark_night_update_category_unique_to_whole_ratio,0.0,最近15dark_night_update不同种类数与全种类比值
last_15_day_cash_app_cnt_dark_night_update,0.0,最近15天现金贷appdark_night_update数
last_15_day_gp_cash_app_cnt_dark_night_update,0.0,最近15天现金贷google play 上的dark_night_update数
last_15_day_un_gp_cash_app_cnt_dark_night_update,0.0,最近15天现金贷非google play 上的dark_night_update数
last_15_day_review_unpopular_app_dark_night_update,0.0,最近15天_review_unpopular_app_dark_night_update数
last_15_day_review_unpopular_app_dark_night_update_to_whole_ratio,-9999.0,最近15天_review_unpopular_app_dark_night_update数与总数比值
last_15_day_review_unpopular_second_app_dark_night_update,0.0,最近15天_review_unpopular_second_app_dark_night_update数
last_15_day_review_unpopular_second_app_dark_night_update_to_whole_ratio,-9999.0,最近15天_review_unpopular_second_app_dark_night_update数与总数比值
last_15_day_review_middle_app_dark_night_update,0.0,最近15天_review_middle_app_dark_night_update数
last_15_day_review_middle_app_dark_night_update_to_whole_ratio,-9999.0,最近15天_review_middle_app_dark_night_update数与总数比值
last_15_day_review_popular_app_dark_night_update,0.0,最近15天_review_popular_app_dark_night_update数
last_15_day_review_popular_app_dark_night_update_to_whole_ratio,-9999.0,最近15天_review_popular_app_dark_night_update数与总数比值
last_15_day_install_unpopular_app_dark_night_update,0.0,最近15天_install_unpopular_app_dark_night_update数
last_15_day_install_unpopular_app_dark_night_update_to_whole_ratio,-9999.0,最近15天_install_unpopular_app_dark_night_update数与总数比值
last_15_day_install_unpopular_second_app_dark_night_update,0.0,最近15天_install_unpopular_second_app_dark_night_update数
last_15_day_install_unpopular_second_app_dark_night_update_to_whole_ratio,-9999.0,最近15天_install_unpopular_second_app_dark_night_update数与总数比值
last_15_day_install_middle_app_dark_night_update,0.0,最近15天_install_middle_app_dark_night_update数
last_15_day_install_middle_app_dark_night_update_to_whole_ratio,-9999.0,最近15天_install_middle_app_dark_night_update数与总数比值
last_15_day_install_popular_app_dark_night_update,0.0,最近15天_install_popular_app_dark_night_update数
last_15_day_install_popular_app_dark_night_update_to_whole_ratio,-9999.0,最近15天_install_popular_app_dark_night_update数与总数比值
last_15_day_cash_install_unpopular_app_dark_night_update,0.0,最近15天_cash_install_unpopular_app_dark_night_update数
last_15_day_cash_install_unpopular_app_dark_night_update_to_whole_ratio,-9999.0,最近15天_cash_install_unpopular_app_dark_night_update数与总数比值
last_15_day_cash_install_unpopular_second_app_dark_night_update,0.0,最近15天_cash_install_unpopular_second_app_dark_night_update数
last_15_day_cash_install_unpopular_second_app_dark_night_update_to_whole_ratio,-9999.0,最近15天_cash_install_unpopular_second_app_dark_night_update数与总数比值
last_15_day_cash_install_middle_app_dark_night_update,0.0,最近15天_cash_install_middle_app_dark_night_update数
last_15_day_cash_install_middle_app_dark_night_update_to_whole_ratio,-9999.0,最近15天_cash_install_middle_app_dark_night_update数与总数比值
last_15_day_cash_install_popular_app_dark_night_update,0.0,最近15天_cash_install_popular_app_dark_night_update数
last_15_day_cash_install_popular_app_dark_night_update_to_whole_ratio,-9999.0,最近15天_cash_install_popular_app_dark_night_update数与总数比值
last_15_cate_gory_kind1_dark_night_update_cnt,0.0,最近15天第一类app dark_night_update 数
last_15_cate_gory_kind2_dark_night_update_cnt,0.0,最近15天第二类app dark_night_update 数
last_15_cate_gory_kind1_dark_night_update_ratio,-9999.0,最近15天第一类app dark_night_update 占比
last_15_cate_gory_kind2_dark_night_update_ratio,-9999.0,最近15天第二类app dark_night_update 占比
last_30_days_app_dark_night_update_cnt,1.0,最近30天_app_dark_night_update_个数
last_30_days_review_dark_night_update_max,128.0,最近30天_热评_dark_night_update_最大数
last_30_days_review_dark_night_update_sum,128.0,最近30天_热评_dark_night_update_合计
last_30_days_review_dark_night_update_avg,128.0,最近30天_热评_dark_night_update_均值
last_30_days_review_dark_night_update_min,128.0,最近30天_热评_dark_night_update_最小数
last_30_days_game_dark_night_update_cnt,0.0,最近30天game_dark_night_update_个数
last_30_days_game_dark_night_update_to_whole_ratio,0.0,最近30天game_dark_night_update_个数与总app数比值
last_30_days_tools_dark_night_update_cnt,0.0,最近30天tools_dark_night_update_个数
last_30_days_tools_dark_night_update_to_whole_ratio,0.0,最近30天tools_dark_night_update_个数与总app数比值
last_30_days_video_music_dark_night_update_cnt,0.0,最近30天video_music_dark_night_update_个数
last_30_days_video_music_dark_night_update_to_whole_ratio,0.0,最近30天video_music_dark_night_update_个数与总app数比值
last_30_days_lifestyle_dark_night_update_cnt,0.0,最近30天lifestyle_dark_night_update_个数
last_30_days_lifestyle_dark_night_update_to_whole_ratio,0.0,最近30天lifestyle_dark_night_update_个数与总app数比值
last_30_days_education_dark_night_update_cnt,0.0,最近30天education_dark_night_update_个数
last_30_days_education_dark_night_update_to_whole_ratio,0.0,最近30天education_dark_night_update_个数与总app数比值
last_30_days_personal_dark_night_update_cnt,0.0,最近30天personal_dark_night_update_个数
last_30_days_personal_dark_night_update_to_whole_ratio,0.0,最近30天personal_dark_night_update_个数与总app数比值
last_30_days_ebook_dark_night_update_cnt,0.0,最近30天ebook_dark_night_update_个数
last_30_days_ebook_dark_night_update_to_whole_ratio,0.0,最近30天ebook_dark_night_update_个数与总app数比值
last_30_days_effication_dark_night_update_cnt,0.0,最近30天effication_dark_night_update_个数
last_30_days_effication_dark_night_update_to_whole_ratio,0.0,最近30天effication_dark_night_update_个数与总app数比值
last_30_days_entertainment_dark_night_update_cnt,0.0,最近30天entertainment_dark_night_update_个数
last_30_days_entertainment_dark_night_update_to_whole_ratio,0.0,最近30天entertainment_dark_night_update_个数与总app数比值
last_30_days_communication_dark_night_update_cnt,0.0,最近30天communication_dark_night_update_个数
last_30_days_communication_dark_night_update_to_whole_ratio,0.0,最近30天communication_dark_night_update_个数与总app数比值
last_30_days_finance_dark_night_update_cnt,1.0,最近30天finance_dark_night_update_个数
last_30_days_finance_dark_night_update_to_whole_ratio,1.0,最近30天finance_dark_night_update_个数与总app数比值
last_30_days_travel_dark_night_update_cnt,0.0,最近30天travel_dark_night_update_个数
last_30_days_travel_dark_night_update_to_whole_ratio,0.0,最近30天travel_dark_night_update_个数与总app数比值
last_30_days_business_dark_night_update_cnt,0.0,最近30天business_dark_night_update_个数
last_30_days_business_dark_night_update_to_whole_ratio,0.0,最近30天business_dark_night_update_个数与总app数比值
last_30_days_shopping_dark_night_update_cnt,0.0,最近30天shopping_dark_night_update_个数
last_30_days_shopping_dark_night_update_to_whole_ratio,0.0,最近30天shopping_dark_night_update_个数与总app数比值
last_30_days_gamble_dark_night_update_cnt,0.0,最近30天gamble_dark_night_update_个数
last_30_days_gamble_dark_night_update_to_whole_ratio,0.0,最近30天gamble_dark_night_update_个数与总app数比值
last_30_days_social_dark_night_update_cnt,0.0,最近30天social_dark_night_update_个数
last_30_days_social_dark_night_update_to_whole_ratio,0.0,最近30天social_dark_night_update_个数与总app数比值
last_30_days_others_dark_night_update_cnt,0.0,最近30天others_dark_night_update_个数
last_30_days_others_dark_night_update_to_whole_ratio,0.0,最近30天others_dark_night_update_个数与总app数比值
last_30_days_dark_night_update_category_unique,1.0,最近30dark_night_update不同种类数
last_30_days_dark_night_update_category_unique_to_whole_ratio,0.058823529411764705,最近30dark_night_update不同种类数与全种类比值
last_30_day_cash_app_cnt_dark_night_update,0.0,最近30天现金贷appdark_night_update数
last_30_day_gp_cash_app_cnt_dark_night_update,0.0,最近30天现金贷google play 上的dark_night_update数
last_30_day_un_gp_cash_app_cnt_dark_night_update,0.0,最近30天现金贷非google play 上的dark_night_update数
last_30_day_review_unpopular_app_dark_night_update,1.0,最近30天_review_unpopular_app_dark_night_update数
last_30_day_review_unpopular_app_dark_night_update_to_whole_ratio,1.0,最近30天_review_unpopular_app_dark_night_update数与总数比值
last_30_day_review_unpopular_second_app_dark_night_update,0.0,最近30天_review_unpopular_second_app_dark_night_update数
last_30_day_review_unpopular_second_app_dark_night_update_to_whole_ratio,0.0,最近30天_review_unpopular_second_app_dark_night_update数与总数比值
last_30_day_review_middle_app_dark_night_update,0.0,最近30天_review_middle_app_dark_night_update数
last_30_day_review_middle_app_dark_night_update_to_whole_ratio,0.0,最近30天_review_middle_app_dark_night_update数与总数比值
last_30_day_review_popular_app_dark_night_update,0.0,最近30天_review_popular_app_dark_night_update数
last_30_day_review_popular_app_dark_night_update_to_whole_ratio,0.0,最近30天_review_popular_app_dark_night_update数与总数比值
last_30_day_install_unpopular_app_dark_night_update,0.0,最近30天_install_unpopular_app_dark_night_update数
last_30_day_install_unpopular_app_dark_night_update_to_whole_ratio,0.0,最近30天_install_unpopular_app_dark_night_update数与总数比值
last_30_day_install_unpopular_second_app_dark_night_update,1.0,最近30天_install_unpopular_second_app_dark_night_update数
last_30_day_install_unpopular_second_app_dark_night_update_to_whole_ratio,1.0,最近30天_install_unpopular_second_app_dark_night_update数与总数比值
last_30_day_install_middle_app_dark_night_update,0.0,最近30天_install_middle_app_dark_night_update数
last_30_day_install_middle_app_dark_night_update_to_whole_ratio,0.0,最近30天_install_middle_app_dark_night_update数与总数比值
last_30_day_install_popular_app_dark_night_update,0.0,最近30天_install_popular_app_dark_night_update数
last_30_day_install_popular_app_dark_night_update_to_whole_ratio,0.0,最近30天_install_popular_app_dark_night_update数与总数比值
last_30_day_cash_install_unpopular_app_dark_night_update,0.0,最近30天_cash_install_unpopular_app_dark_night_update数
last_30_day_cash_install_unpopular_app_dark_night_update_to_whole_ratio,0.0,最近30天_cash_install_unpopular_app_dark_night_update数与总数比值
last_30_day_cash_install_unpopular_second_app_dark_night_update,1.0,最近30天_cash_install_unpopular_second_app_dark_night_update数
last_30_day_cash_install_unpopular_second_app_dark_night_update_to_whole_ratio,1.0,最近30天_cash_install_unpopular_second_app_dark_night_update数与总数比值
last_30_day_cash_install_middle_app_dark_night_update,0.0,最近30天_cash_install_middle_app_dark_night_update数
last_30_day_cash_install_middle_app_dark_night_update_to_whole_ratio,0.0,最近30天_cash_install_middle_app_dark_night_update数与总数比值
last_30_day_cash_install_popular_app_dark_night_update,0.0,最近30天_cash_install_popular_app_dark_night_update数
last_30_day_cash_install_popular_app_dark_night_update_to_whole_ratio,0.0,最近30天_cash_install_popular_app_dark_night_update数与总数比值
last_30_cate_gory_kind1_dark_night_update_cnt,1.0,最近30天第一类app dark_night_update 数
last_30_cate_gory_kind2_dark_night_update_cnt,0.0,最近30天第二类app dark_night_update 数
last_30_cate_gory_kind1_dark_night_update_ratio,1.0,最近30天第一类app dark_night_update 占比
last_30_cate_gory_kind2_dark_night_update_ratio,0.0,最近30天第二类app dark_night_update 占比
last_total_days_app_dark_night_update_cnt,3.0,最近total天_app_dark_night_update_个数
last_total_days_review_dark_night_update_max,128.0,最近total天_热评_dark_night_update_最大数
last_total_days_review_dark_night_update_sum,-19870.0,最近total天_热评_dark_night_update_合计
last_total_days_review_dark_night_update_avg,-6623.333333333333,最近total天_热评_dark_night_update_均值
last_total_days_review_dark_night_update_min,128.0,最近total天_热评_dark_night_update_最小数
last_total_days_game_dark_night_update_cnt,0.0,最近total天game_dark_night_update_个数
last_total_days_game_dark_night_update_to_whole_ratio,0.0,最近total天game_dark_night_update_个数与总app数比值
last_total_days_tools_dark_night_update_cnt,0.0,最近total天tools_dark_night_update_个数
last_total_days_tools_dark_night_update_to_whole_ratio,0.0,最近total天tools_dark_night_update_个数与总app数比值
last_total_days_video_music_dark_night_update_cnt,0.0,最近total天video_music_dark_night_update_个数
last_total_days_video_music_dark_night_update_to_whole_ratio,0.0,最近total天video_music_dark_night_update_个数与总app数比值
last_total_days_lifestyle_dark_night_update_cnt,0.0,最近total天lifestyle_dark_night_update_个数
last_total_days_lifestyle_dark_night_update_to_whole_ratio,0.0,最近total天lifestyle_dark_night_update_个数与总app数比值
last_total_days_education_dark_night_update_cnt,0.0,最近total天education_dark_night_update_个数
last_total_days_education_dark_night_update_to_whole_ratio,0.0,最近total天education_dark_night_update_个数与总app数比值
last_total_days_personal_dark_night_update_cnt,0.0,最近total天personal_dark_night_update_个数
last_total_days_personal_dark_night_update_to_whole_ratio,0.0,最近total天personal_dark_night_update_个数与总app数比值
last_total_days_ebook_dark_night_update_cnt,0.0,最近total天ebook_dark_night_update_个数
last_total_days_ebook_dark_night_update_to_whole_ratio,0.0,最近total天ebook_dark_night_update_个数与总app数比值
last_total_days_effication_dark_night_update_cnt,0.0,最近total天effication_dark_night_update_个数
last_total_days_effication_dark_night_update_to_whole_ratio,0.0,最近total天effication_dark_night_update_个数与总app数比值
last_total_days_entertainment_dark_night_update_cnt,0.0,最近total天entertainment_dark_night_update_个数
last_total_days_entertainment_dark_night_update_to_whole_ratio,0.0,最近total天entertainment_dark_night_update_个数与总app数比值
last_total_days_communication_dark_night_update_cnt,0.0,最近total天communication_dark_night_update_个数
last_total_days_communication_dark_night_update_to_whole_ratio,0.0,最近total天communication_dark_night_update_个数与总app数比值
last_total_days_finance_dark_night_update_cnt,2.0,最近total天finance_dark_night_update_个数
last_total_days_finance_dark_night_update_to_whole_ratio,0.6666666666666666,最近total天finance_dark_night_update_个数与总app数比值
last_total_days_travel_dark_night_update_cnt,0.0,最近total天travel_dark_night_update_个数
last_total_days_travel_dark_night_update_to_whole_ratio,0.0,最近total天travel_dark_night_update_个数与总app数比值
last_total_days_business_dark_night_update_cnt,0.0,最近total天business_dark_night_update_个数
last_total_days_business_dark_night_update_to_whole_ratio,0.0,最近total天business_dark_night_update_个数与总app数比值
last_total_days_shopping_dark_night_update_cnt,0.0,最近total天shopping_dark_night_update_个数
last_total_days_shopping_dark_night_update_to_whole_ratio,0.0,最近total天shopping_dark_night_update_个数与总app数比值
last_total_days_gamble_dark_night_update_cnt,0.0,最近total天gamble_dark_night_update_个数
last_total_days_gamble_dark_night_update_to_whole_ratio,0.0,最近total天gamble_dark_night_update_个数与总app数比值
last_total_days_social_dark_night_update_cnt,0.0,最近total天social_dark_night_update_个数
last_total_days_social_dark_night_update_to_whole_ratio,0.0,最近total天social_dark_night_update_个数与总app数比值
last_total_days_others_dark_night_update_cnt,0.0,最近total天others_dark_night_update_个数
last_total_days_others_dark_night_update_to_whole_ratio,0.0,最近total天others_dark_night_update_个数与总app数比值
last_total_days_dark_night_update_category_unique,2.0,最近totaldark_night_update不同种类数
last_total_days_dark_night_update_category_unique_to_whole_ratio,0.11764705882352941,最近totaldark_night_update不同种类数与全种类比值
last_total_day_cash_app_cnt_dark_night_update,0.0,最近total天现金贷appdark_night_update数
last_total_day_gp_cash_app_cnt_dark_night_update,0.0,最近total天现金贷google play 上的dark_night_update数
last_total_day_un_gp_cash_app_cnt_dark_night_update,0.0,最近total天现金贷非google play 上的dark_night_update数
last_total_day_review_unpopular_app_dark_night_update,1.0,最近total天_review_unpopular_app_dark_night_update数
last_total_day_review_unpopular_app_dark_night_update_to_whole_ratio,0.3333333333333333,最近total天_review_unpopular_app_dark_night_update数与总数比值
last_total_day_review_unpopular_second_app_dark_night_update,0.0,最近total天_review_unpopular_second_app_dark_night_update数
last_total_day_review_unpopular_second_app_dark_night_update_to_whole_ratio,0.0,最近total天_review_unpopular_second_app_dark_night_update数与总数比值
last_total_day_review_middle_app_dark_night_update,0.0,最近total天_review_middle_app_dark_night_update数
last_total_day_review_middle_app_dark_night_update_to_whole_ratio,0.0,最近total天_review_middle_app_dark_night_update数与总数比值
last_total_day_review_popular_app_dark_night_update,0.0,最近total天_review_popular_app_dark_night_update数
last_total_day_review_popular_app_dark_night_update_to_whole_ratio,0.0,最近total天_review_popular_app_dark_night_update数与总数比值
last_total_day_install_unpopular_app_dark_night_update,0.0,最近total天_install_unpopular_app_dark_night_update数
last_total_day_install_unpopular_app_dark_night_update_to_whole_ratio,0.0,最近total天_install_unpopular_app_dark_night_update数与总数比值
last_total_day_install_unpopular_second_app_dark_night_update,2.0,最近total天_install_unpopular_second_app_dark_night_update数
last_total_day_install_unpopular_second_app_dark_night_update_to_whole_ratio,0.6666666666666666,最近total天_install_unpopular_second_app_dark_night_update数与总数比值
last_total_day_install_middle_app_dark_night_update,0.0,最近total天_install_middle_app_dark_night_update数
last_total_day_install_middle_app_dark_night_update_to_whole_ratio,0.0,最近total天_install_middle_app_dark_night_update数与总数比值
last_total_day_install_popular_app_dark_night_update,0.0,最近total天_install_popular_app_dark_night_update数
last_total_day_install_popular_app_dark_night_update_to_whole_ratio,0.0,最近total天_install_popular_app_dark_night_update数与总数比值
last_total_day_cash_install_unpopular_app_dark_night_update,0.0,最近total天_cash_install_unpopular_app_dark_night_update数
last_total_day_cash_install_unpopular_app_dark_night_update_to_whole_ratio,0.0,最近total天_cash_install_unpopular_app_dark_night_update数与总数比值
last_total_day_cash_install_unpopular_second_app_dark_night_update,2.0,最近total天_cash_install_unpopular_second_app_dark_night_update数
last_total_day_cash_install_unpopular_second_app_dark_night_update_to_whole_ratio,0.6666666666666666,最近total天_cash_install_unpopular_second_app_dark_night_update数与总数比值
last_total_day_cash_install_middle_app_dark_night_update,0.0,最近total天_cash_install_middle_app_dark_night_update数
last_total_day_cash_install_middle_app_dark_night_update_to_whole_ratio,0.0,最近total天_cash_install_middle_app_dark_night_update数与总数比值
last_total_day_cash_install_popular_app_dark_night_update,0.0,最近total天_cash_install_popular_app_dark_night_update数
last_total_day_cash_install_popular_app_dark_night_update_to_whole_ratio,0.0,最近total天_cash_install_popular_app_dark_night_update数与总数比值
last_total_cate_gory_kind1_dark_night_update_cnt,2.0,最近total天第一类app dark_night_update 数
last_total_cate_gory_kind2_dark_night_update_cnt,0.0,最近total天第二类app dark_night_update 数
last_total_cate_gory_kind1_dark_night_update_ratio,0.6666666666666666,最近total天第一类app dark_night_update 占比
last_total_cate_gory_kind2_dark_night_update_ratio,0.0,最近total天第二类app dark_night_update 占比
finance_install_20_percent_cnt,0.0,finance_install_20%个数
finance_install_20_to_50_percent_cnt,1.0,finance_install_20%-50%个数
finance_install_50_to_80_percent_cnt,5.0,finance_install_50%-80%个数
finance_install_80_percent_cnt,13.0,finance_install_80%个数
game_install_20_percent_cnt,0.0,game_install_20%个数
game_install_20_to_50_percent_cnt,0.0,game_install_20%-50%个数
game_install_50_to_80_percent_cnt,2.0,game_install_50%-80%个数
game_install_80_percent_cnt,3.0,game_install_80%个数
tool_install_20_percent_cnt,2.0,tool_install_20%个数
tool_install_20_to_50_percent_cnt,6.0,tool_install_20%-50%个数
tool_install_50_to_80_percent_cnt,3.0,tool_install_50%-80%个数
tool_install_80_percent_cnt,6.0,tool_install_80%个数
vedio_install_20_percent_cnt,0.0,vedio_install_20%个数
vedio_install_20_to_50_percent_cnt,2.0,vedio_install_20%-50%个数
